
experiment_id,run_date,model_architecture,dataset_name,dataset_version,learning_rate,batch_size,epochs,accuracy,precision,recall,f1_score,training_time_minutes,hardware_used,environment_details,notes
exp_0034,2025-01-05,CNN,COCO,2.0,3e-05,256,9,0.6654,0.7097,0.6477,0.6773,1719,TPU,GCP Container Python3.7,optimizer comparison
exp_0035,2024-12-05,ResNet,IMDB,2.0,0.00119,16,44,0.8445,0.8309,0.8917,0.8602,756,CPU,Windows 10 Python3.8,transfer learning
exp_0036,2024-06-25,RandomForest,CIFAR10,1.0,0.07076,64,76,0.6234,0.6231,0.6035,0.6131,1820,Multi-GPU,GCP Container Python3.7,data augmentation
exp_0037,2023-03-30,ResNet,SVHN,2.0,0.00014,32,57,0.5181,0.5291,0.5184,0.5237,60,GPU,AWS EC2 Python3.10,with dropout
exp_0038,2025-07-29,SVM,IMDB,2.0,2e-05,64,25,0.6365,0.6773,0.6105,0.6422,1622,Edge Device,Ubuntu 20.04 Python3.8,batch normalization experiment
exp_0039,2023-09-13,SVM,ImageNet,3.0,4e-05,32,30,0.7398,0.7884,0.714,0.7494,1682,Multi-GPU,Windows 10 Python3.8,regularization test
exp_0040,2025-02-14,SVM,SVHN,2.0,0.00488,32,8,0.8732,0.847,0.896,0.8708,1361,GPU,MacOS 12 Python3.9,with dropout
exp_0041,2023-06-11,Transformer,SVHN,1.0,0.0003,64,49,0.8098,0.8232,0.8134,0.8183,1323,Cloud TPU,MacOS 12 Python3.9,optimizer comparison
exp_0042,2024-08-23,Transformer,ImageNet,1.0,2e-05,64,27,0.9093,0.8914,0.878,0.8846,1199,TPU,Ubuntu 20.04 Python3.8,tuned hyperparameters
exp_0043,2025-01-10,XGBoost,IMDB,2.1,1e-05,64,60,0.7895,0.8073,0.7412,0.7728,1251,Cloud TPU,Ubuntu 20.04 Python3.8,batch normalization experiment
exp_0044,2024-01-29,XGBoost,CIFAR10,2.1,0.00112,16,95,0.611,0.6255,0.5784,0.601,903,CPU,GCP Container Python3.7,optimizer comparison
exp_0045,2023-05-23,RandomForest,COCO,2.0,0.0058,64,60,0.6895,0.7332,0.6533,0.6909,153,Edge Device,Windows 10 Python3.8,loss function experiment
exp_0046,2023-04-04,Transformer,COCO,1.0,0.00023,64,69,0.5556,0.5981,0.5933,0.5957,643,Edge Device,MacOS 12 Python3.9,with dropout
exp_0047,2024-04-11,LSTM,COCO,2.1,0.00011,256,21,0.8234,0.8551,0.8289,0.8418,402,Multi-GPU,AWS EC2 Python3.10,batch normalization experiment
exp_0048,2024-08-15,RandomForest,COCO,2.0,0.00131,256,77,0.6185,0.5778,0.6582,0.6154,626,Multi-GPU,GCP Container Python3.7,baseline
exp_0049,2023-06-13,Transformer,MNIST,2.0,0.03996,128,79,0.8102,0.7941,0.7951,0.7946,1252,Edge Device,Windows 10 Python3.8,feature scaling applied
exp_0050,2024-04-21,LSTM,IMDB,2.0,0.00801,256,65,0.9396,0.9783,0.9676,0.9729,1635,Edge Device,Ubuntu 22.04 Python3.9,tuned hyperparameters
exp_0051,2023-07-26,Transformer,Custom,4.2,0.0037,64,16,0.5412,0.5074,0.5811,0.5418,1686,GPU,AWS EC2 Python3.10,regularization test
exp_0052,2025-02-17,ResNet,SVHN,2.0,0.00267,32,8,0.5045,0.4646,0.5209,0.4911,104,GPU,MacOS 12 Python3.9,loss function experiment
exp_0053,2024-07-23,SVM,SVHN,1.0,1e-05,128,58,0.5788,0.5837,0.598,0.5908,1824,Edge Device,GCP Container Python3.7,transfer learning
exp_0054,2025-07-17,RandomForest,COCO,3.0,0.00405,128,56,0.6099,0.6311,0.5836,0.6064,509,GPU,AWS EC2 Python3.10,baseline
exp_0055,2025-01-17,SVM,SVHN,1.0,0.0002,128,33,0.8658,0.8808,0.9007,0.8906,370,Edge Device,GCP Container Python3.7,feature scaling applied
exp_0056,2023-11-30,CNN,Custom,2.0,0.00427,16,63,0.7785,0.7379,0.7653,0.7514,283,Multi-GPU,AWS EC2 Python3.10,optimizer comparison
exp_0057,2025-01-28,XGBoost,Custom,2.1,0.00012,128,83,0.6196,0.6669,0.6089,0.6366,1679,Edge Device,GCP Container Python3.7,batch normalization experiment
exp_0058,2024-12-28,SVM,Custom,3.0,0.037,32,100,0.8093,0.8388,0.8096,0.8239,1774,Multi-GPU,MacOS 12 Python3.9,regularization test
exp_0059,2024-03-05,SVM,CIFAR10,2.1,0.00203,256,67,0.7413,0.7108,0.7635,0.7362,1293,GPU,Windows 10 Python3.8,feature scaling applied
exp_0060,2024-06-30,CNN,COCO,2.1,0.00013,32,39,0.5119,0.5264,0.4796,0.5019,697,TPU,GCP Container Python3.7,tuned hyperparameters
exp_0061,2023-05-27,ResNet,CIFAR10,2.0,0.05779,128,93,0.9674,1.0,0.9544,0.9767,322,Edge Device,Ubuntu 22.04 Python3.9,tuned hyperparameters
exp_0062,2023-12-17,LSTM,IMDB,2.1,1e-05,256,64,0.9549,0.9477,1.0,0.9731,861,CPU,Ubuntu 22.04 Python3.9,batch normalization experiment
exp_0063,2024-05-16,LSTM,SVHN,4.2,0.07153,16,78,0.918,0.8974,0.9065,0.9019,789,Multi-GPU,Ubuntu 20.04 Python3.8,with dropout
exp_0064,2023-12-01,Transformer,SVHN,3.0,0.02538,128,73,0.6553,0.6222,0.661,0.641,1540,Edge Device,GCP Container Python3.7,loss function experiment
exp_0065,2025-08-04,ResNet,IMDB,2.0,0.05554,64,60,0.8411,0.8481,0.8008,0.8238,1004,CPU,MacOS 12 Python3.9,with dropout
exp_0066,2025-02-16,RandomForest,COCO,3.0,0.00288,32,64,0.9851,0.9491,0.9869,0.9676,1893,GPU,GCP Container Python3.7,optimizer comparison
exp_0067,2024-07-06,CNN,IMDB,4.2,0.03232,256,89,0.863,0.8827,0.8832,0.8829,65,CPU,AWS EC2 Python3.10,batch normalization experiment
exp_0068,2024-03-25,ResNet,SVHN,3.0,0.00027,32,11,0.6439,0.6748,0.6749,0.6748,542,Multi-GPU,Windows 10 Python3.8,transfer learning
exp_0069,2024-10-26,LSTM,MNIST,2.1,0.0294,128,40,0.9475,0.9486,0.9477,0.9481,1550,Multi-GPU,Windows 10 Python3.8,tuned hyperparameters
exp_0070,2023-04-25,LSTM,ImageNet,4.2,0.0156,16,49,0.8185,0.8387,0.8481,0.8434,469,Edge Device,Ubuntu 20.04 Python3.8,baseline
exp_0071,2024-04-14,SVM,ImageNet,2.0,0.03631,32,7,0.6656,0.6532,0.625,0.6388,1282,GPU,Ubuntu 22.04 Python3.9,data augmentation
exp_0072,2023-03-07,LSTM,COCO,1.0,0.00206,256,32,0.5176,0.5142,0.5219,0.518,962,Edge Device,Windows 10 Python3.8,with dropout
exp_0073,2024-10-08,ResNet,Custom,4.2,0.00014,16,25,0.7895,0.7426,0.7432,0.7429,1985,TPU,Ubuntu 20.04 Python3.8,loss function experiment
exp_0074,2025-04-01,CNN,MNIST,4.2,0.01952,128,55,0.6765,0.6392,0.6787,0.6584,1938,Edge Device,Ubuntu 22.04 Python3.9,tuned hyperparameters
exp_0075,2024-07-02,XGBoost,COCO,2.0,0.01202,16,94,0.6058,0.6181,0.5643,0.59,1592,TPU,AWS EC2 Python3.10,loss function experiment
exp_0076,2023-05-16,SVM,ImageNet,4.2,2e-05,16,49,0.7604,0.7645,0.7741,0.7693,1101,Multi-GPU,AWS EC2 Python3.10,with dropout
exp_0077,2024-03-08,CNN,Custom,2.1,0.00802,16,58,0.9782,0.9798,0.9605,0.9701,1694,Multi-GPU,Ubuntu 20.04 Python3.8,batch normalization experiment
exp_0078,2024-10-06,Transformer,COCO,3.0,0.01516,32,60,0.6327,0.6266,0.5905,0.608,370,Edge Device,GCP Container Python3.7,regularization test
exp_0079,2024-03-11,XGBoost,SVHN,4.2,1e-05,128,64,0.9717,1.0,0.9913,0.9956,902,Edge Device,GCP Container Python3.7,regularization test
exp_0080,2025-10-19,Transformer,SVHN,2.0,0.00043,16,40,0.5849,0.5505,0.5599,0.5552,1815,Multi-GPU,Ubuntu 22.04 Python3.9,feature scaling applied
exp_0081,2025-03-21,XGBoost,Custom,3.0,0.00157,64,8,0.8502,0.8662,0.8282,0.8468,1022,TPU,Ubuntu 22.04 Python3.9,feature scaling applied
exp_0082,2025-07-28,ResNet,MNIST,2.1,0.06599,64,40,0.8616,0.867,0.8728,0.8699,1812,Cloud TPU,AWS EC2 Python3.10,regularization test
exp_0083,2023-10-20,XGBoost,ImageNet,4.2,0.00048,32,15,0.6214,0.607,0.6472,0.6265,504,Edge Device,MacOS 12 Python3.9,feature scaling applied
exp_0084,2024-06-26,XGBoost,SVHN,2.0,1e-05,128,87,0.5569,0.5115,0.511,0.5112,1467,Multi-GPU,MacOS 12 Python3.9,baseline
exp_0085,2023-10-13,CNN,MNIST,2.0,0.02641,128,93,0.8448,0.8422,0.8046,0.823,508,TPU,AWS EC2 Python3.10,loss function experiment
exp_0086,2024-05-20,Transformer,IMDB,4.2,0.00093,256,49,0.732,0.6993,0.7254,0.7121,881,Edge Device,GCP Container Python3.7,with dropout
exp_0087,2024-06-22,Transformer,COCO,3.0,0.00039,64,44,0.8018,0.8153,0.7563,0.7847,524,GPU,Ubuntu 20.04 Python3.8,transfer learning
exp_0088,2025-05-27,Transformer,ImageNet,4.2,0.00032,32,29,0.8067,0.807,0.8423,0.8243,453,Edge Device,MacOS 12 Python3.9,regularization test
exp_0089,2025-03-28,RandomForest,Custom,4.2,0.00431,256,41,0.5798,0.5369,0.594,0.564,215,GPU,Windows 10 Python3.8,transfer learning
exp_0090,2025-01-11,Transformer,CIFAR10,2.1,1e-05,16,95,0.787,0.831,0.7945,0.8123,1103,GPU,Windows 10 Python3.8,baseline
exp_0091,2024-03-25,CNN,Custom,2.1,0.00036,32,86,0.8152,0.811,0.8198,0.8154,1788,Multi-GPU,Ubuntu 20.04 Python3.8,baseline
exp_0092,2023-10-11,XGBoost,MNIST,3.0,0.05833,128,61,0.6892,0.7353,0.7297,0.7325,707,GPU,Ubuntu 20.04 Python3.8,regularization test
exp_0093,2025-11-09,SVM,IMDB,1.0,6e-05,16,56,0.534,0.4941,0.4858,0.4899,1017,CPU,GCP Container Python3.7,baseline
exp_0094,2025-10-07,ResNet,CIFAR10,4.2,2e-05,64,15,0.8347,0.7918,0.8166,0.804,518,CPU,GCP Container Python3.7,batch normalization experiment
exp_0095,2023-07-06,XGBoost,Custom,4.2,0.02396,32,71,0.5114,0.5428,0.4896,0.5148,789,Multi-GPU,MacOS 12 Python3.9,regularization test
exp_0096,2023-04-07,SVM,Custom,3.0,3e-05,64,77,0.8414,0.8543,0.8791,0.8665,1281,CPU,GCP Container Python3.7,tuned hyperparameters
exp_0097,2023-08-13,SVM,CIFAR10,2.0,0.00872,64,89,0.8937,0.8719,0.8614,0.8666,176,GPU,Ubuntu 22.04 Python3.9,data augmentation
exp_0098,2023-11-10,XGBoost,ImageNet,2.0,0.01006,16,57,0.8953,0.9444,0.8866,0.9146,932,Edge Device,GCP Container Python3.7,feature scaling applied
exp_0099,2023-11-24,Transformer,ImageNet,2.0,0.00031,64,95,0.8804,0.8645,0.9235,0.893,589,Edge Device,MacOS 12 Python3.9,tuned hyperparameters
exp_0100,2025-05-14,RandomForest,CIFAR10,2.1,0.02714,256,89,0.7102,0.7353,0.7357,0.7355,1656,GPU,MacOS 12 Python3.9,tuned hyperparameters
